seller_id,item_id,item_name,category,marketplace_price,expected_units_sold,expected_revenue,recommendation_source
S111,I535008,Dell XPS 13 Laptop,Electronics,147366.43,3968.0,5.8474999424E8,company
S111,I82474,LG 7kg Washing Machine,Home Appliances,147998.61,3940.0,5.831145234E8,company
S111,I51795,Skechers GoWalk,Footwear,144686.37,3960.0,5.729580251999999E8,company
S111,I350504,Levis Denim Jacket,Apparel,142220.12,3974.0,5.6518275688E8,company
S111,I318489,Dell XPS 13 Laptop,Electronics,138631.1,3942.0,5.464837962E8,company
S111,I248794,Dyson Vacuum Cleaner,Home Appliances,137914.86,3953.0,5.451774415799999E8,company
S111,I824500,Dell XPS 13 Laptop,Electronics,89802.625,5969.0,5.36031868625E8,competitor
S111,I639903,Allen Solly Formal Pants,Apparel,88559.64,5989.0,5.3038368396E8,competitor
S111,I128777,Sony WH-1000XM5 Headphones,Electronics,133718.55,3934.0,5.260487756999999E8,company
S112,I682869,H&M Cotton Shirt,Apparel,102045.07500000001,5991.0,6.11352044325E8,competitor
S112,I535008,Dell XPS 13 Laptop,Electronics,147366.43,3968.0,5.8474999424E8,company
S112,I82474,LG 7kg Washing Machine,Home Appliances,147998.61,3940.0,5.831145234E8,company
S112,I51795,Skechers GoWalk,Footwear,144686.37,3960.0,5.729580251999999E8,company
S112,I350504,Levis Denim Jacket,Apparel,142220.12,3974.0,5.6518275688E8,company
S112,I318489,Dell XPS 13 Laptop,Electronics,138631.1,3942.0,5.464837962E8,company
S112,I248794,Dyson Vacuum Cleaner,Home Appliances,137914.86,3953.0,5.451774415799999E8,company
S112,I824500,Dell XPS 13 Laptop,Electronics,89802.625,5969.0,5.36031868625E8,competitor
S112,I639903,Allen Solly Formal Pants,Apparel,88559.64,5989.0,5.3038368396E8,competitor
S112,I128777,Sony WH-1000XM5 Headphones,Electronics,133718.55,3934.0,5.260487756999999E8,company
S113,I682869,H&M Cotton Shirt,Apparel,102045.07500000001,5991.0,6.11352044325E8,competitor
S113,I535008,Dell XPS 13 Laptop,Electronics,147366.43,3968.0,5.8474999424E8,company
S113,I82474,LG 7kg Washing Machine,Home Appliances,147998.61,3940.0,5.831145234E8,company
S113,I51795,Skechers GoWalk,Footwear,144686.37,3960.0,5.729580251999999E8,company
S113,I350504,Levis Denim Jacket,Apparel,142220.12,3974.0,5.6518275688E8,company
S113,I318489,Dell XPS 13 Laptop,Electronics,138631.1,3942.0,5.464837962E8,company
S113,I248794,Dyson Vacuum Cleaner,Home Appliances,137914.86,3953.0,5.451774415799999E8,company
S113,I824500,Dell XPS 13 Laptop,Electronics,89802.625,5969.0,5.36031868625E8,competitor
S113,I639903,Allen Solly Formal Pants,Apparel,88559.64,5989.0,5.3038368396E8,competitor
S113,I128777,Sony WH-1000XM5 Headphones,Electronics,133718.55,3934.0,5.260487756999999E8,company
S114,I682869,H&M Cotton Shirt,Apparel,102045.07500000001,5991.0,6.11352044325E8,competitor
S114,I535008,Dell XPS 13 Laptop,Electronics,147366.43,3968.0,5.8474999424E8,company
S114,I82474,LG 7kg Washing Machine,Home Appliances,147998.61,3940.0,5.831145234E8,company
S114,I51795,Skechers GoWalk,Footwear,144686.37,3960.0,5.729580251999999E8,company
S114,I350504,Levis Denim Jacket,Apparel,142220.12,3974.0,5.6518275688E8,company
S114,I318489,Dell XPS 13 Laptop,Electronics,138631.1,3942.0,5.464837962E8,company
S114,I248794,Dyson Vacuum Cleaner,Home Appliances,137914.86,3953.0,5.451774415799999E8,company
S114,I824500,Dell XPS 13 Laptop,Electronics,89802.625,5969.0,5.36031868625E8,competitor
S114,I639903,Allen Solly Formal Pants,Apparel,88559.64,5989.0,5.3038368396E8,competitor
S114,I128777,Sony WH-1000XM5 Headphones,Electronics,133718.55,3934.0,5.260487756999999E8,company
S115,I682869,H&M Cotton Shirt,Apparel,102045.07500000001,5991.0,6.11352044325E8,competitor
S115,I535008,Dell XPS 13 Laptop,Electronics,147366.43,3968.0,5.8474999424E8,company
S115,I82474,LG 7kg Washing Machine,Home Appliances,147998.61,3940.0,5.831145234E8,company
S115,I51795,Skechers GoWalk,Footwear,144686.37,3960.0,5.729580251999999E8,company
S115,I350504,Levis Denim Jacket,Apparel,142220.12,3974.0,5.6518275688E8,company
S115,I318489,Dell XPS 13 Laptop,Electronics,138631.1,3942.0,5.464837962E8,company
S115,I248794,Dyson Vacuum Cleaner,Home Appliances,137914.86,3953.0,5.451774415799999E8,company
S115,I824500,Dell XPS 13 Laptop,Electronics,89802.625,5969.0,5.36031868625E8,competitor
S115,I639903,Allen Solly Formal Pants,Apparel,88559.64,5989.0,5.3038368396E8,competitor
S115,I128777,Sony WH-1000XM5 Headphones,Electronics,133718.55,3934.0,5.260487756999999E8,company
S116,I682869,H&M Cotton Shirt,Apparel,102045.07500000001,5991.0,6.11352044325E8,competitor
S116,I535008,Dell XPS 13 Laptop,Electronics,147366.43,3968.0,5.8474999424E8,company
S116,I82474,LG 7kg Washing Machine,Home Appliances,147998.61,3940.0,5.831145234E8,company
S116,I51795,Skechers GoWalk,Footwear,144686.37,3960.0,5.729580251999999E8,company
S116,I350504,Levis Denim Jacket,Apparel,142220.12,3974.0,5.6518275688E8,company
S116,I318489,Dell XPS 13 Laptop,Electronics,138631.1,3942.0,5.464837962E8,company
S116,I248794,Dyson Vacuum Cleaner,Home Appliances,137914.86,3953.0,5.451774415799999E8,company
S116,I824500,Dell XPS 13 Laptop,Electronics,89802.625,5969.0,5.36031868625E8,competitor
S116,I639903,Allen Solly Formal Pants,Apparel,88559.64,5989.0,5.3038368396E8,competitor
S116,I128777,Sony WH-1000XM5 Headphones,Electronics,133718.55,3934.0,5.260487756999999E8,company
S117,I682869,H&M Cotton Shirt,Apparel,102045.07500000001,5991.0,6.11352044325E8,competitor
S117,I535008,Dell XPS 13 Laptop,Electronics,147366.43,3968.0,5.8474999424E8,company
S117,I82474,LG 7kg Washing Machine,Home Appliances,147998.61,3940.0,5.831145234E8,company
S117,I51795,Skechers GoWalk,Footwear,144686.37,3960.0,5.729580251999999E8,company
S117,I350504,Levis Denim Jacket,Apparel,142220.12,3974.0,5.6518275688E8,company
S117,I318489,Dell XPS 13 Laptop,Electronics,138631.1,3942.0,5.464837962E8,company
S117,I248794,Dyson Vacuum Cleaner,Home Appliances,137914.86,3953.0,5.451774415799999E8,company
S117,I824500,Dell XPS 13 Laptop,Electronics,89802.625,5969.0,5.36031868625E8,competitor
S117,I639903,Allen Solly Formal Pants,Apparel,88559.64,5989.0,5.3038368396E8,competitor
S117,I128777,Sony WH-1000XM5 Headphones,Electronics,133718.55,3934.0,5.260487756999999E8,company
S118,I682869,H&M Cotton Shirt,Apparel,102045.07500000001,5991.0,6.11352044325E8,competitor
S118,I535008,Dell XPS 13 Laptop,Electronics,147366.43,3968.0,5.8474999424E8,company
S118,I82474,LG 7kg Washing Machine,Home Appliances,147998.61,3940.0,5.831145234E8,company
S118,I51795,Skechers GoWalk,Footwear,144686.37,3960.0,5.729580251999999E8,company
S118,I350504,Levis Denim Jacket,Apparel,142220.12,3974.0,5.6518275688E8,company
S118,I318489,Dell XPS 13 Laptop,Electronics,138631.1,3942.0,5.464837962E8,company
S118,I824500,Dell XPS 13 Laptop,Electronics,89802.625,5969.0,5.36031868625E8,competitor
S118,I639903,Allen Solly Formal Pants,Apparel,88559.64,5989.0,5.3038368396E8,competitor
S118,I128777,Sony WH-1000XM5 Headphones,Electronics,133718.55,3934.0,5.260487756999999E8,company
S118,I837838,Boat Smartwatch,Electronics,132732.63,3961.0,5.2575394743E8,company
S119,I682869,H&M Cotton Shirt,Apparel,102045.07500000001,5991.0,6.11352044325E8,competitor
S119,I535008,Dell XPS 13 Laptop,Electronics,147366.43,3968.0,5.8474999424E8,company
S119,I82474,LG 7kg Washing Machine,Home Appliances,147998.61,3940.0,5.831145234E8,company
S119,I51795,Skechers GoWalk,Footwear,144686.37,3960.0,5.729580251999999E8,company
S119,I350504,Levis Denim Jacket,Apparel,142220.12,3974.0,5.6518275688E8,company
S119,I318489,Dell XPS 13 Laptop,Electronics,138631.1,3942.0,5.464837962E8,company
S119,I248794,Dyson Vacuum Cleaner,Home Appliances,137914.86,3953.0,5.451774415799999E8,company
S119,I824500,Dell XPS 13 Laptop,Electronics,89802.625,5969.0,5.36031868625E8,competitor
S119,I639903,Allen Solly Formal Pants,Apparel,88559.64,5989.0,5.3038368396E8,competitor
S119,I128777,Sony WH-1000XM5 Headphones,Electronics,133718.55,3934.0,5.260487756999999E8,company
S120,I535008,Dell XPS 13 Laptop,Electronics,147366.43,3968.0,5.8474999424E8,company
S120,I82474,LG 7kg Washing Machine,Home Appliances,147998.61,3940.0,5.831145234E8,company
S120,I51795,Skechers GoWalk,Footwear,144686.37,3960.0,5.729580251999999E8,company
S120,I350504,Levis Denim Jacket,Apparel,142220.12,3974.0,5.6518275688E8,company
S120,I318489,Dell XPS 13 Laptop,Electronics,138631.1,3942.0,5.464837962E8,company
S120,I248794,Dyson Vacuum Cleaner,Home Appliances,137914.86,3953.0,5.451774415799999E8,company
S120,I824500,Dell XPS 13 Laptop,Electronics,89802.625,5969.0,5.36031868625E8,competitor
S120,I639903,Allen Solly Formal Pants,Apparel,88559.64,5989.0,5.3038368396E8,competitor
S120,I128777,Sony WH-1000XM5 Headphones,Electronics,133718.55,3934.0,5.260487756999999E8,company
S120,I837838,Boat Smartwatch,Electronics,132732.63,3961.0,5.2575394743E8,company
S121,I682869,H&M Cotton Shirt,Apparel,102045.07500000001,5991.0,6.11352044325E8,competitor
S121,I535008,Dell XPS 13 Laptop,Electronics,147366.43,3968.0,5.8474999424E8,company
S121,I82474,LG 7kg Washing Machine,Home Appliances,147998.61,3940.0,5.831145234E8,company
S121,I51795,Skechers GoWalk,Footwear,144686.37,3960.0,5.729580251999999E8,company
S121,I350504,Levis Denim Jacket,Apparel,142220.12,3974.0,5.6518275688E8,company
S121,I318489,Dell XPS 13 Laptop,Electronics,138631.1,3942.0,5.464837962E8,company
S121,I248794,Dyson Vacuum Cleaner,Home Appliances,137914.86,3953.0,5.451774415799999E8,company
S121,I824500,Dell XPS 13 Laptop,Electronics,89802.625,5969.0,5.36031868625E8,competitor
S121,I639903,Allen Solly Formal Pants,Apparel,88559.64,5989.0,5.3038368396E8,competitor
S121,I128777,Sony WH-1000XM5 Headphones,Electronics,133718.55,3934.0,5.260487756999999E8,company
S122,I682869,H&M Cotton Shirt,Apparel,102045.07500000001,5991.0,6.11352044325E8,competitor
S122,I535008,Dell XPS 13 Laptop,Electronics,147366.43,3968.0,5.8474999424E8,company
S122,I82474,LG 7kg Washing Machine,Home Appliances,147998.61,3940.0,5.831145234E8,company
S122,I51795,Skechers GoWalk,Footwear,144686.37,3960.0,5.729580251999999E8,company
S122,I350504,Levis Denim Jacket,Apparel,142220.12,3974.0,5.6518275688E8,company
S122,I318489,Dell XPS 13 Laptop,Electronics,138631.1,3942.0,5.464837962E8,company
S122,I248794,Dyson Vacuum Cleaner,Home Appliances,137914.86,3953.0,5.451774415799999E8,company
S122,I824500,Dell XPS 13 Laptop,Electronics,89802.625,5969.0,5.36031868625E8,competitor
S122,I639903,Allen Solly Formal Pants,Apparel,88559.64,5989.0,5.3038368396E8,competitor
S122,I128777,Sony WH-1000XM5 Headphones,Electronics,133718.55,3934.0,5.260487756999999E8,company
S123,I682869,H&M Cotton Shirt,Apparel,102045.07500000001,5991.0,6.11352044325E8,competitor
S123,I535008,Dell XPS 13 Laptop,Electronics,147366.43,3968.0,5.8474999424E8,company
S123,I82474,LG 7kg Washing Machine,Home Appliances,147998.61,3940.0,5.831145234E8,company
S123,I51795,Skechers GoWalk,Footwear,144686.37,3960.0,5.729580251999999E8,company
S123,I350504,Levis Denim Jacket,Apparel,142220.12,3974.0,5.6518275688E8,company
S123,I318489,Dell XPS 13 Laptop,Electronics,138631.1,3942.0,5.464837962E8,company
S123,I248794,Dyson Vacuum Cleaner,Home Appliances,137914.86,3953.0,5.451774415799999E8,company
S123,I824500,Dell XPS 13 Laptop,Electronics,89802.625,5969.0,5.36031868625E8,competitor
S123,I639903,Allen Solly Formal Pants,Apparel,88559.64,5989.0,5.3038368396E8,competitor
S123,I128777,Sony WH-1000XM5 Headphones,Electronics,133718.55,3934.0,5.260487756999999E8,company
S124,I682869,H&M Cotton Shirt,Apparel,102045.07500000001,5991.0,6.11352044325E8,competitor
S124,I535008,Dell XPS 13 Laptop,Electronics,147366.43,3968.0,5.8474999424E8,company
S124,I82474,LG 7kg Washing Machine,Home Appliances,147998.61,3940.0,5.831145234E8,company
S124,I51795,Skechers GoWalk,Footwear,144686.37,3960.0,5.729580251999999E8,company
S124,I350504,Levis Denim Jacket,Apparel,142220.12,3974.0,5.6518275688E8,company
S124,I318489,Dell XPS 13 Laptop,Electronics,138631.1,3942.0,5.464837962E8,company
S124,I248794,Dyson Vacuum Cleaner,Home Appliances,137914.86,3953.0,5.451774415799999E8,company
S124,I824500,Dell XPS 13 Laptop,Electronics,89802.625,5969.0,5.36031868625E8,competitor
S124,I639903,Allen Solly Formal Pants,Apparel,88559.64,5989.0,5.3038368396E8,competitor
S124,I128777,Sony WH-1000XM5 Headphones,Electronics,133718.55,3934.0,5.260487756999999E8,company
S125,I682869,H&M Cotton Shirt,Apparel,102045.07500000001,5991.0,6.11352044325E8,competitor
S125,I535008,Dell XPS 13 Laptop,Electronics,147366.43,3968.0,5.8474999424E8,company
S125,I82474,LG 7kg Washing Machine,Home Appliances,147998.61,3940.0,5.831145234E8,company
S125,I51795,Skechers GoWalk,Footwear,144686.37,3960.0,5.729580251999999E8,company
S125,I350504,Levis Denim Jacket,Apparel,142220.12,3974.0,5.6518275688E8,company
S125,I318489,Dell XPS 13 Laptop,Electronics,138631.1,3942.0,5.464837962E8,company
S125,I248794,Dyson Vacuum Cleaner,Home Appliances,137914.86,3953.0,5.451774415799999E8,company
S125,I824500,Dell XPS 13 Laptop,Electronics,89802.625,5969.0,5.36031868625E8,competitor
S125,I639903,Allen Solly Formal Pants,Apparel,88559.64,5989.0,5.3038368396E8,competitor
S125,I837838,Boat Smartwatch,Electronics,132732.63,3961.0,5.2575394743E8,company
S126,I682869,H&M Cotton Shirt,Apparel,102045.07500000001,5991.0,6.11352044325E8,competitor
S126,I535008,Dell XPS 13 Laptop,Electronics,147366.43,3968.0,5.8474999424E8,company
S126,I82474,LG 7kg Washing Machine,Home Appliances,147998.61,3940.0,5.831145234E8,company
S126,I51795,Skechers GoWalk,Footwear,144686.37,3960.0,5.729580251999999E8,company
S126,I350504,Levis Denim Jacket,Apparel,142220.12,3974.0,5.6518275688E8,company
S126,I318489,Dell XPS 13 Laptop,Electronics,138631.1,3942.0,5.464837962E8,company
S126,I248794,Dyson Vacuum Cleaner,Home Appliances,137914.86,3953.0,5.451774415799999E8,company
S126,I824500,Dell XPS 13 Laptop,Electronics,89802.625,5969.0,5.36031868625E8,competitor
S126,I639903,Allen Solly Formal Pants,Apparel,88559.64,5989.0,5.3038368396E8,competitor
S126,I128777,Sony WH-1000XM5 Headphones,Electronics,133718.55,3934.0,5.260487756999999E8,company
S127,I682869,H&M Cotton Shirt,Apparel,102045.07500000001,5991.0,6.11352044325E8,competitor
S127,I535008,Dell XPS 13 Laptop,Electronics,147366.43,3968.0,5.8474999424E8,company
S127,I82474,LG 7kg Washing Machine,Home Appliances,147998.61,3940.0,5.831145234E8,company
S127,I51795,Skechers GoWalk,Footwear,144686.37,3960.0,5.729580251999999E8,company
S127,I350504,Levis Denim Jacket,Apparel,142220.12,3974.0,5.6518275688E8,company
S127,I318489,Dell XPS 13 Laptop,Electronics,138631.1,3942.0,5.464837962E8,company
S127,I248794,Dyson Vacuum Cleaner,Home Appliances,137914.86,3953.0,5.451774415799999E8,company
S127,I824500,Dell XPS 13 Laptop,Electronics,89802.625,5969.0,5.36031868625E8,competitor
S127,I639903,Allen Solly Formal Pants,Apparel,88559.64,5989.0,5.3038368396E8,competitor
S127,I128777,Sony WH-1000XM5 Headphones,Electronics,133718.55,3934.0,5.260487756999999E8,company
S128,I682869,H&M Cotton Shirt,Apparel,102045.07500000001,5991.0,6.11352044325E8,competitor
S128,I535008,Dell XPS 13 Laptop,Electronics,147366.43,3968.0,5.8474999424E8,company
S128,I82474,LG 7kg Washing Machine,Home Appliances,147998.61,3940.0,5.831145234E8,company
S128,I51795,Skechers GoWalk,Footwear,144686.37,3960.0,5.729580251999999E8,company
S128,I350504,Levis Denim Jacket,Apparel,142220.12,3974.0,5.6518275688E8,company
S128,I318489,Dell XPS 13 Laptop,Electronics,138631.1,3942.0,5.464837962E8,company
S128,I248794,Dyson Vacuum Cleaner,Home Appliances,137914.86,3953.0,5.451774415799999E8,company
S128,I824500,Dell XPS 13 Laptop,Electronics,89802.625,5969.0,5.36031868625E8,competitor
S128,I639903,Allen Solly Formal Pants,Apparel,88559.64,5989.0,5.3038368396E8,competitor
S128,I128777,Sony WH-1000XM5 Headphones,Electronics,133718.55,3934.0,5.260487756999999E8,company
S129,I682869,H&M Cotton Shirt,Apparel,102045.07500000001,5991.0,6.11352044325E8,competitor
S129,I535008,Dell XPS 13 Laptop,Electronics,147366.43,3968.0,5.8474999424E8,company
